,Unnamed: 0,codgr,libgr,sougr,libsougr,codal,libal,libgren,libsougren,codsougr,codgr_,sougr_,codal_,codsougr_
0,0,1,pain et panification sèche,1,pain,7001,pain baguette,breads,bread,11,1,1121,12137001,121
1,1,1,pain et panification sèche,1,pain,7004,pain grillé maison,breads,bread,11,1,1121,12137004,121
2,2,1,pain et panification sèche,1,pain,7012,pain courant français boule à la levure,breads,bread,11,1,1121,12137012,121
3,3,1,pain et panification sèche,1,pain,7100,pain de campagne ou bis,breads,bread,11,1,1121,12137100,121
4,4,1,pain et panification sèche,1,pain,7110,pain complet ou intégral artisanal,breads,bread,11,1,1121,12137110,121
5,5,1,pain et panification sèche,1,pain,7125,pain de seigle et froment,breads,bread,11,1,1121,12137125,121
6,6,1,pain et panification sèche,1,pain,7126,pain de seigle aux raisins,breads,bread,11,1,1121,12137126,121
7,7,1,pain et panification sèche,1,pain,7160,pain baguette sans sel,breads,bread,11,1,1121,12137160,121
8,8,1,pain et panification sèche,1,pain,7200,pain de mie,breads,bread,11,1,1121,12137200,121
9,9,1,pain et panification sèche,1,pain,7225,pain brioché ou viennois,breads,bread,11,1,1121,12137225,121
10,10,1,pain et panification sèche,1,pain,7255,pain aux céréales artisanal,breads,bread,11,1,1121,12137255,121
11,11,1,pain et panification sèche,1,pain,90003,pain type poilâne,breads,bread,11,1,1121,121390003,121
12,12,1,pain et panification sèche,1,pain,91123,pain sans précision,breads,bread,11,1,1121,121391123,121
13,13,1,pain et panification sèche,1,pain,92031,autre pain,breads,bread,11,1,1121,121392031,121
14,14,1,pain et panification sèche,2,biscottes et panification sèche,7300,biscotte classique type heudebert lu,breads,rusk,12,1,1122,12237300,122
15,15,1,pain et panification sèche,2,biscottes et panification sèche,7310,biscotte sans adjonction de sel,breads,rusk,12,1,1122,12237310,122
16,16,1,pain et panification sèche,2,biscottes et panification sèche,7330,biscotte multicéréales type heudebert aux six céréales,breads,rusk,12,1,1122,12237330,122
17,17,1,pain et panification sèche,2,biscottes et panification sèche,7340,biscotte complète ou riche en fibres,breads,rusk,12,1,1122,12237340,122
18,18,1,pain et panification sèche,2,biscottes et panification sèche,7400,pain grillé au froment type tranches pain grillé pelletier lu braisotte jacquet,breads,rusk,12,1,1122,12237400,122
19,19,1,pain et panification sèche,2,biscottes et panification sèche,7411,tartine extrudée fourrée au chocolat ou aux fruits type craquinette de lu,breads,rusk,12,1,1122,12237411,122
20,20,1,pain et panification sèche,2,biscottes et panification sèche,7425,pain grillé multicéréales type pain grillé multicéréales heudebert lu,breads,rusk,12,1,1122,12237425,122
21,21,1,pain et panification sèche,2,biscottes et panification sèche,92030,autre biscotte,breads,rusk,12,1,1122,122392030,122
22,22,1,pain et panification sèche,3,autres produits de panification,7430,croûtons,breads,other product of panification,13,1,1123,12337430,123
23,23,1,pain et panification sèche,3,autres produits de panification,7500,chapelure ou panure,breads,other product of panification,13,1,1123,12337500,123
24,24,1,pain et panification sèche,3,autres produits de panification,7812,fougasse garnie,breads,other product of panification,13,1,1123,12337812,123
25,25,2,céréales pour petit déjeuner,1,"céréales sucrées, glacées ou au miel",32000,grains de blé soufflés au miel ou au caramel enrichis en vitamines et minéraux t,breakfast cereals,cereal breakfast,21,2,1221,221332000,221
26,26,2,céréales pour petit déjeuner,1,"céréales sucrées, glacées ou au miel",32002,céréales riches en fibres enrichies en vitamines et minéraux type all-bran,breakfast cereals,sweetened cereals,21,2,1221,221332002,221
