codgr	libgr	sougr	libsougr	codal	libal	libgren	libsougren	codsougr
1	pain et panification sèche	1	pain	7001	pain baguette	breads	bread	11
1	pain et panification sèche	1	pain	7004	pain grillé maison	breads	bread	11
1	pain et panification sèche	1	pain	7012	pain courant français boule à la levure	breads	bread	11
1	pain et panification sèche	1	pain	7100	pain de campagne ou bis	breads	bread	11
1	pain et panification sèche	1	pain	7110	pain complet ou intégral artisanal	breads	bread	11
1	pain et panification sèche	1	pain	7125	pain de seigle et froment	breads	bread	11
1	pain et panification sèche	1	pain	7126	pain de seigle aux raisins	breads	bread	11
1	pain et panification sèche	1	pain	7160	pain baguette sans sel	breads	bread	11
1	pain et panification sèche	1	pain	7200	pain de mie	breads	bread	11
1	pain et panification sèche	1	pain	7225	pain brioché ou viennois	breads	bread	11
1	pain et panification sèche	1	pain	7255	pain aux céréales artisanal	breads	bread	11
1	pain et panification sèche	1	pain	90003	pain type poilâne	breads	bread	11
1	pain et panification sèche	1	pain	91123	pain sans précision	breads	bread	11
1	pain et panification sèche	1	pain	92031	autre pain	breads	bread	11
1	pain et panification sèche	2	biscottes et panification sèche	7300	biscotte classique type heudebert lu	breads	rusk	12
1	pain et panification sèche	2	biscottes et panification sèche	7310	biscotte sans adjonction de sel	breads	rusk	12
1	pain et panification sèche	2	biscottes et panification sèche	7330	biscotte multicéréales type heudebert aux six céréales	breads	rusk	12
1	pain et panification sèche	2	biscottes et panification sèche	7340	biscotte complète ou riche en fibres	breads	rusk	12
1	pain et panification sèche	2	biscottes et panification sèche	7400	pain grillé au froment type tranches pain grillé pelletier lu braisotte jacquet	breads	rusk	12
1	pain et panification sèche	2	biscottes et panification sèche	7411	tartine extrudée fourrée au chocolat ou aux fruits type craquinette de lu	breads	rusk	12
1	pain et panification sèche	2	biscottes et panification sèche	7425	pain grillé multicéréales type pain grillé multicéréales heudebert lu	breads	rusk	12
1	pain et panification sèche	2	biscottes et panification sèche	92030	autre biscotte	breads	rusk	12
1	pain et panification sèche	3	autres produits de panification	7430	croûtons	breads	other product of panification	13
1	pain et panification sèche	3	autres produits de panification	7500	chapelure ou panure	breads	other product of panification	13
1	pain et panification sèche	3	autres produits de panification	7812	fougasse garnie	breads	other product of panification	13
2	céréales pour petit déjeuner	1	céréales sucrées, glacées ou au miel	32000	grains de blé soufflés au miel ou au caramel enrichis en vitamines et minéraux t	breakfast cereals	cereal breakfast	21
2	céréales pour petit déjeuner	1	céréales sucrées, glacées ou au miel	32002	céréales riches en fibres enrichies en vitamines et minéraux type all-bran	breakfast cereals	sweetened cereals	21
2	céréales pour petit déjeuner	1	céréales sucrées, glacées ou au miel	32003	céréales sucrées sans précision	breakfast cereals	sweetened cereals	21
2	céréales pour petit déjeuner	1	céréales sucrées, glacées ou au miel	32005	pétales de maïs ou corn-flakes nature sucrés enrichis en vitamines et minéraux t	breakfast cereals	sweetened cereals	21
2	céréales pour petit déjeuner	1	céréales sucrées, glacées ou au miel	32006	riz soufflé nature sucré enrichi en vitamines et minéraux type rice krispies kel	breakfast cereals	sweetened cereals	21
2	céréales pour petit déjeuner	1	céréales sucrées, glacées ou au miel	32021	céréales nature enrichies en vitamines et minéraux type kellogg's spécial k ou n	breakfast cereals	sweetened cereals	21
2	céréales pour petit déjeuner	1	céréales sucrées, glacées ou au miel	32121	pétales de maïs glacés au sucre enrichis en vitamines et minéraux type kellogg's	breakfast cereals	sweetened cereals	21
2	céréales pour petit déjeuner	1	céréales sucrées, glacées ou au miel	32133	boules de maïs soufflé au miel enrichies en vitamines et minéraux type miel pops	breakfast cereals	sweetened cereals	21
2	céréales pour petit déjeuner	2	céréales chocolatées	32001	céréales chocolatées sucrées non fourrées enrichies en vitamines et minéraux	breakfast cereals	chocolate cereals	22
2	céréales pour petit déjeuner	2	céréales chocolatées	32009	pétales de blé chocolatés enrichis en vitamines et minéraux type chocos kellogg'	breakfast cereals	chocolate cereals	22
